You Asked For the Following:,,,,,
Year           : From:1950 To: 2016,,,,,
State            : All States By State,,,,,
Species          : CRAB, BLUE,,,,
Year,State,Species,Metric Tons,Pounds,$
1961,Delaware,"CRAB, BLUE",344.50,759400.00,51718.00
1961,Delaware,"CRAB, BLUE, SOFT AND PEELER",24.40,53700.00,14428.00
1961,Florida East Coast,"CRAB, BLUE",3395.40,7485600.00,344338.00
1961,Florida East Coast,"CRAB, BLUE, SOFT AND PEELER",0.20,400.00,200.00
1961,Florida West Coast,"CRAB, BLUE",7769.90,17129500.00,736573.00
1961,Florida West Coast,"CRAB, BLUE, SOFT AND PEELER",2.30,5100.00,2550.00
1961,Georgia,"CRAB, BLUE",5584.80,12312200.00,450158.00
1961,Louisiana,"CRAB, BLUE",5402.30,11909900.00,514188.00
1961,Louisiana,"CRAB, BLUE, SOFT AND PEELER",281.40,620300.00,310200.00
1961,Maryland,"CRAB, BLUE",12092.10,26658300.00,1466215.00
1961,Maryland,"CRAB, BLUE, SOFT AND PEELER",1221.10,2692000.00,613778.00
1961,Mississippi,"CRAB, BLUE",1136.20,2504900.00,142799.00
1961,Mississippi,"CRAB, BLUE, SOFT AND PEELER",3.20,7000.00,1190.00
1961,New Jersey,"CRAB, BLUE",293.20,646400.00,67034.00
1961,New Jersey,"CRAB, BLUE, SOFT AND PEELER",25.90,57100.00,11416.00
1961,New York,"CRAB, BLUE",0.60,1300.00,152.00
1961,North Carolina,"CRAB, BLUE",7203.20,15880100.00,608478.00
1961,North Carolina,"CRAB, BLUE, SOFT AND PEELER",45.70,100800.00,35280.00
1961,South Carolina,"CRAB, BLUE",2119.30,4672100.00,185844.00
1961,Texas,"CRAB, BLUE",1303.90,2874600.00,177710.00
1961,Texas,"CRAB, BLUE, SOFT AND PEELER",1.10,2400.00,720.00
1961,Virginia,"CRAB, BLUE",19947.50,43976200.00,1944528.00
1961,Virginia,"CRAB, BLUE, SOFT AND PEELER",711.30,1568200.00,422141.00
1962,Alabama,"CRAB, BLUE",287.70,634300.00,35213.00
1962,Connecticut,"CRAB, BLUE",0.90,1900.00,537.00
1962,Delaware,"CRAB, BLUE",854.80,1884500.00,119752.00
1962,Delaware,"CRAB, BLUE, SOFT AND PEELER",11.70,25900.00,9338.00
1962,Florida East Coast,"CRAB, BLUE",3569.20,7868600.00,432773.00
1962,Florida East Coast,"CRAB, BLUE, SOFT AND PEELER",0.10,200.00,100.00
1962,Florida West Coast,"CRAB, BLUE",4697.60,10356300.00,486748.00
1962,Florida West Coast,"CRAB, BLUE, SOFT AND PEELER",0.10,200.00,100.00
1962,Georgia,"CRAB, BLUE",5580.70,12303200.00,437357.00
1962,Louisiana,"CRAB, BLUE",4319.60,9523000.00,462454.00
1962,Louisiana,"CRAB, BLUE, SOFT AND PEELER",155.90,343800.00,171900.00
1962,Maryland,"CRAB, BLUE",12547.00,27661100.00,1770307.00
1962,Maryland,"CRAB, BLUE, SOFT AND PEELER",1765.40,3892000.00,778620.00
1962,Mississippi,"CRAB, BLUE",411.60,907400.00,55354.00
1962,Mississippi,"CRAB, BLUE, SOFT AND PEELER",0.90,2000.00,336.00
1962,New Jersey,"CRAB, BLUE",682.70,1505000.00,139692.00
1962,New Jersey,"CRAB, BLUE, SOFT AND PEELER",70.50,155500.00,31088.00
